Title,Link,Rating,Description,Genre,Duration (hrs)
Taxi Driver,https://www.imdb.com/title/tt0075314/,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime, Drama",1h 54m
Der Untergang,https://www.imdb.com/title/tt0363163/,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII.","Biography, Drama, History",2h 36m
Dangal,https://www.imdb.com/title/tt5074352/,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action, Biography, Drama",2h 41m
Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,8.2,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.","Drama, Western",2h 12m
Batman Begins,https://www.imdb.com/title/tt0372784/,8.2,"After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","Action, Crime, Drama",2h 20m
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography, Comedy, Crime",3h 0m
Some Like It Hot,https://www.imdb.com/title/tt0053291/,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy, Music, Romance",2h 1m
Green Book,https://www.imdb.com/title/tt6966692/,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography, Comedy, Drama",2h 10m
The Kid,https://www.imdb.com/title/tt0012349/,8.2,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy, Drama, Family",1h 8m
The Father,https://www.imdb.com/title/tt10272386/,8.2,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","Drama, Mystery",1h 37m
Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,8.3,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Drama, War",2h 59m
The Truman Show,https://www.imdb.com/title/tt0120382/,8.2,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy, Drama",1h 43m
All About Eve,https://www.imdb.com/title/tt0042192/,8.2,Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.,Drama,2h 18m
Shutter Island,https://www.imdb.com/title/tt1130884/,8.2,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","Drama, Mystery, Thriller",2h 18m
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,8.2,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN&apos;s elite graduates on a mission that demands the ultimate sacrifice from those chosen to ...","Action, Drama",2h 10m
There Will Be Blood,https://www.imdb.com/title/tt0469494/,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,2h 38m
Casino,https://www.imdb.com/title/tt0112641/,8.2,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","Crime, Drama",2h 58m
Jurassic Park,https://www.imdb.com/title/tt0107290/,8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park&apos;s cloned dinosaurs to run loose.,"Action, Adventure, Sci-Fi",2h 7m
Ran,https://www.imdb.com/title/tt0089881/,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Action, Drama, War",2h 40m
The Sixth Sense,https://www.imdb.com/title/tt0167404/,8.2,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","Drama, Mystery, Thriller",1h 47m
El laberinto del fauno,https://www.imdb.com/title/tt0457430/,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama, Fantasy, War",1h 58m
Unforgiven,https://www.imdb.com/title/tt0105695/,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The &quot;Schofield Kid.&quot;","Drama, Western",2h 10m
No Country for Old Men,https://www.imdb.com/title/tt0477348/,8.2,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Crime, Drama, Thriller",2h 2m
A Beautiful Mind,https://www.imdb.com/title/tt0268978/,8.2,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.","Biography, Drama, Mystery",2h 15m
The Thing,https://www.imdb.com/title/tt0084787/,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror, Mystery, Sci-Fi",1h 49m
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action, Crime, Thriller",1h 51m
The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure, Drama, Western",2h 6m
Yôjinbô,https://www.imdb.com/title/tt0055630/,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action, Drama, Thriller",1h 50m
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure, Comedy, Fantasy",1h 31m
The Great Escape,https://www.imdb.com/title/tt0057115/,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Adventure, Drama, Thriller",2h 52m
Finding Nemo,https://www.imdb.com/title/tt0266543/,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation, Adventure, Comedy",1h 40m
Prisoners,https://www.imdb.com/title/tt1392214/,8.2,"When Keller Dover&apos;s daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime, Drama, Mystery",2h 33m
Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation, Adventure, Family",1h 59m
Rashômon,https://www.imdb.com/title/tt0042876/,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai&apos;s ghost and a woodcutter.","Crime, Drama, Mystery",1h 28m
The Elephant Man,https://www.imdb.com/title/tt0080678/,8.2,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Biography, Drama",2h 4m
Dial M for Murder,https://www.imdb.com/title/tt0046912/,8.2,A former tennis star arranges the murder of his adulterous wife.,"Crime, Thriller",1h 45m
Chinatown,https://www.imdb.com/title/tt0071315/,8.1,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Drama, Mystery, Thriller",2h 10m
Gone with the Wind,https://www.imdb.com/title/tt0031381/,8.2,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,"Drama, Romance, War",3h 58m
"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,8.1,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Action, Comedy, Crime",1h 47m
V for Vendetta,https://www.imdb.com/title/tt0434409/,8.2,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of &quot;V&quot;, plots to overthrow the tyrannical government - with the help of a young woman.","Action, Drama, Sci-Fi",2h 12m
El secreto de sus ojos,https://www.imdb.com/title/tt1305806/,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Drama, Mystery, Romance",2h 9m
Inside Out,https://www.imdb.com/title/tt2096673/,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation, Adventure, Comedy",1h 35m
Raging Bull,https://www.imdb.com/title/tt0081398/,8.1,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography, Drama, Sport",2h 9m
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,8.1,A mother personally challenges the local authorities to solve her daughter&apos;s murder when they fail to catch the culprit.,"Comedy, Crime, Drama",1h 55m
Trainspotting,https://www.imdb.com/title/tt0117951/,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Drama,1h 33m
The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Adventure, Drama, War",2h 41m
Klaus,https://www.imdb.com/title/tt4729430/,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg&apos;s new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation, Adventure, Comedy",1h 36m
Fargo,https://www.imdb.com/title/tt0116282/,8.1,Minnesota car salesman Jerry Lundegaard&apos;s inept crime falls apart due to his and his henchmen&apos;s bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime, Thriller",1h 38m
Catch Me If You Can,https://www.imdb.com/title/tt0264464/,8.1,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography, Crime, Drama",2h 21m
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,8.2,"With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Action, Adventure, Fantasy",2h 28m
Warrior,https://www.imdb.com/title/tt1291584/,8.1,"The youngest son of an alcoholic former boxer returns home, where he&apos;s trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Action, Drama, Sport",2h 20m
Gran Torino,https://www.imdb.com/title/tt1205489/,8.1,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Drama,1h 56m
Harry Potter and the Deathly Hallows - Part 2,https://www.imdb.com/title/tt1201607/,8.1,"Harry, Ron, and Hermione search for Voldemort&apos;s remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure, Family, Fantasy",2h 10m
Million Dollar Baby,https://www.imdb.com/title/tt0405159/,8.1,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.","Drama, Sport",2h 12m
Tonari no Totoro,https://www.imdb.com/title/tt0096283/,8.1,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation, Comedy, Family",1h 26m
Bacheha-Ye aseman,https://www.imdb.com/title/tt0118849/,8.2,"After a boy loses his sister&apos;s pair of shoes, he goes on a series of adventures in order to find them. When he can&apos;t, he tries a new way to &quot;win&quot; a new pair.","Drama, Family, Sport",1h 29m
12 Years a Slave,https://www.imdb.com/title/tt2024544/,8.1,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.","Biography, Drama, History",2h 14m
Ben-Hur,https://www.imdb.com/title/tt0052618/,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Adventure, Drama",3h 32m
Blade Runner,https://www.imdb.com/title/tt0083658/,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Action, Drama, Sci-Fi",1h 57m
Before Sunrise,https://www.imdb.com/title/tt0112471/,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama, Romance",1h 41m
Barry Lyndon,https://www.imdb.com/title/tt0072684/,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband&apos;s aristocratic position in 18th-century England.,"Adventure, Drama, War",3h 5m
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel&apos;s glorious years under an exceptional concierge.","Adventure, Comedy, Crime",1h 39m
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.","Action, Adventure, Sci-Fi",2h 0m
Gone Girl,https://www.imdb.com/title/tt2267998/,8.1,"With his wife&apos;s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it&apos;s suspected that he may not be innocent.","Drama, Mystery, Thriller",2h 29m
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/,8.1,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Biography, Drama, History",2h 19m
Dead Poets Society,https://www.imdb.com/title/tt0097165/,8.1,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys&apos; boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.","Comedy, Drama",2h 8m
The Gold Rush,https://www.imdb.com/title/tt0015864/,8.1,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure, Comedy, Drama",1h 35m
Salinui chueok,https://www.imdb.com/title/tt0353969/,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime, Drama, Mystery",2h 11m
In the Name of the Father,https://www.imdb.com/title/tt0107207/,8.1,"An Irish man&apos;s coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.","Biography, Crime, Drama",2h 13m
Relatos salvajes,https://www.imdb.com/title/tt3011894/,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy, Drama, Thriller",2h 2m
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Animation, Adventure, Comedy",1h 32m
The Deer Hunter,https://www.imdb.com/title/tt0077416/,8.1,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama, War",3h 3m
The General,https://www.imdb.com/title/tt0017925/,8.1,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...","Action, Adventure, Comedy",1h 18m
On the Waterfront,https://www.imdb.com/title/tt0047296/,8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims.","Crime, Drama, Thriller",1h 48m
Sherlock Jr.,https://www.imdb.com/title/tt0015324/,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend&apos;s father&apos;s pocketwatch.","Action, Comedy, Romance",0h 45m
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation, Action, Adventure",1h 38m
Jaws,https://www.imdb.com/title/tt0073195/,8.1,"When a killer shark unleashes chaos on a beach community off Cape Cod, it&apos;s up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure, Mystery, Thriller",2h 4m
Mary and Max.,https://www.imdb.com/title/tt0978762/,8.1,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger&apos;s syndrome.","Animation, Comedy, Drama",1h 32m
The Third Man,https://www.imdb.com/title/tt0041959/,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir, Mystery, Thriller",1h 44m
Le salaire de la peur,https://www.imdb.com/title/tt0046268/,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure, Drama, Thriller",2h 11m
Ratatouille,https://www.imdb.com/title/tt0382932/,8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation, Adventure, Comedy",1h 51m
Smultronstället,https://www.imdb.com/title/tt0050986/,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama, Romance",1h 31m
Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,8.1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...","Comedy, Drama",2h 9m
Ford v Ferrari,https://www.imdb.com/title/tt1950186/,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Action, Biography, Drama",2h 32m
Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,8.1,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,2h 16m
The Big Lebowski,https://www.imdb.com/title/tt0118715/,8.1,"Jeff &quot;The Dude&quot; Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Comedy, Crime",1h 57m
Rocky,https://www.imdb.com/title/tt0075148/,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama, Sport",2h 0m
Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,8.1,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Drama, Fantasy",1h 36m
Room,https://www.imdb.com/title/tt3170832/,8.1,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama, Thriller",1h 58m
Logan,https://www.imdb.com/title/tt3315342/,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action, Drama, Sci-Fi",2h 17m
Spotlight,https://www.imdb.com/title/tt1895587/,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography, Crime, Drama",2h 9m
Hotel Rwanda,https://www.imdb.com/title/tt0395169/,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History",2h 1m
The Terminator,https://www.imdb.com/title/tt0088247/,8.1,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity&apos;s future salvat...","Action, Adventure, Sci-Fi",1h 47m
Platoon,https://www.imdb.com/title/tt0091763/,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Drama, War",2h 0m
La passion de Jeanne d&apos;Arc,https://www.imdb.com/title/tt0019254/,8.1,"In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography, Drama, History",1h 50m
La haine,https://www.imdb.com/title/tt0113247/,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime, Drama",1h 38m
Before Sunset,https://www.imdb.com/title/tt0381681/,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse&apos;s book tour.","Drama, Romance",1h 20m
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,8.1,"Blacksmith Will Turner teams up with eccentric pirate &quot;Captain&quot; Jack Sparrow to save Elizabeth Swann, the governor&apos;s daughter and his love, from Jack&apos;s former pirate allies, who are now undead.","Action, Adventure, Fantasy",2h 23m
The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,8.1,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Drama, Romance, War",2h 50m
The Exorcist,https://www.imdb.com/title/tt0070047/,8.1,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",Horror,2h 2m
Jai Bhim,https://www.imdb.com/title/tt15097216/,8.7,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime, Drama, Mystery",2h 44m
Rush,https://www.imdb.com/title/tt1979320/,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Action, Biography, Drama",2h 3m
Network,https://www.imdb.com/title/tt0074958/,8.1,"A television network cynically exploits a deranged former anchor&apos;s ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama,2h 1m
The Wizard of Oz,https://www.imdb.com/title/tt0032138/,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the other...","Adventure, Family, Fantasy",1h 42m
Stand by Me,https://www.imdb.com/title/tt0092005/,8.1,A writer recounts a childhood journey with his friends to find the body of a missing boy.,"Adventure, Comedy, Drama",1h 29m
The Incredibles,https://www.imdb.com/title/tt0317705/,8,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Animation, Action, Adventure",1h 55m
Hachi: A Dog&apos;s Tale,https://www.imdb.com/title/tt1028532/,8.1,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker&apos;s loyal companion. As their bond grows deeper, a beautiful relationship un...","Biography, Drama, Family",1h 33m
Babam ve Oglum,https://www.imdb.com/title/tt0476735/,8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama, Family",1h 52m
Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama, Romance, Thriller",2h 25m
The Sound of Music,https://www.imdb.com/title/tt0059742/,8.1,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography, Drama, Family",2h 52m
Into the Wild,https://www.imdb.com/title/tt0758758/,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way...","Adventure, Biography, Drama",2h 28m
To Be or Not to Be,https://www.imdb.com/title/tt0035446/,8.1,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.","Comedy, Romance, War",1h 39m
La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama, War",2h 1m
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,8.1,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama,2h 9m
Groundhog Day,https://www.imdb.com/title/tt0107048/,8,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.","Comedy, Drama, Fantasy",1h 41m
Amores perros,https://www.imdb.com/title/tt0245712/,8.1,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.","Drama, Thriller",2h 34m
The Iron Giant,https://www.imdb.com/title/tt0129167/,8.1,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation, Action, Adventure",1h 26m
Rebecca,https://www.imdb.com/title/tt0032976/,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat&apos;s wife and avoiding being intimidated by his first wife&apos;s spectral presence.,"Drama, Mystery, Romance",2h 10m
Cool Hand Luke,https://www.imdb.com/title/tt0061512/,8.1,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime, Drama",2h 7m
The Help,https://www.imdb.com/title/tt1454029/,8.1,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...",Drama,2h 26m
It Happened One Night,https://www.imdb.com/title/tt0025316/,8.1,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,"Comedy, Romance",1h 45m
Drishyam,https://www.imdb.com/title/tt4430212/,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Crime, Drama, Mystery",2h 43m
Aladdin,https://www.imdb.com/title/tt0103639/,8,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation, Adventure, Comedy",1h 30m
Dances with Wolves,https://www.imdb.com/title/tt0099348/,8,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Adventure, Drama, Western",3h 1m
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Action, Comedy, Crime",5h 21m
